"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"246";23714268;3;"Нет";"Октябрьская";2;6;10;59
"247";23960977;3;"Нет";"Марксистская";12;1;10;80
"248";23871839;2;"Нет";"Киевская";8;7;14;60
"249";24011260;3;"Нет";"Маяковская";10;5;5;68
"250";23686640;3;"Нет";"Таганская";15;1;8;80
"251";23864445;2;"Нет";"Смоленская";5;3;6;42
"252";24032056;2;"Нет";"Новокузнецкая";5;4;5;56
"253";22808173;2;"Нет";"Белорусская";NA;6;8;60
"254";23455140;2;"Нет";"Краснопресненская";3;7;14;50
"255";24042599;2;"Нет";"Киевская";5;8;9;56
"256";22600341;2;"Нет";"Киевская";10;8;8;58
"257";20988663;3;"Нет";"Маяковская";7;4;6;62
"258";23869596;3;"Нет";"Павелецкая";5;2;5;68
"259";24037179;4;"Нет";"Марксистская";15;5;8;103
"260";23455144;3;"Нет";"Новокузнецкая";5;2;5;73
"261";24043336;3;"Нет";"Краснопресненская";NA;3;6;65
"262";24043490;3;"Нет";"Краснопресненская";NA;3;6;65
"263";23970020;3;"Нет";"Павелецкая";10;7;14;70
"264";23969942;3;"Нет";"Сухаревская";10;9;16;78
"265";22217139;2;"Нет";"Красные Ворота";5;4;8;67
"266";23963834;2;"Нет";"Красные Ворота";5;3;8;57
"267";23075975;2;"Нет";"Курская";5;4;8;67
"268";21459464;2;"Нет";"Новослободская";10;1;5;63
"269";23963833;2;"Нет";"Курская";5;3;8;57
"270";23356197;4;"Нет";"Белорусская";10;12;12;62
"271";23427238;4;"Нет";"Краснопресненская";10;12;12;62
"272";23977369;2;"Нет";"Маяковская";3;2;7;44
"273";23977370;2;"Нет";"Маяковская";3;2;7;44
"274";23652954;2;"Нет";"Курская";NA;5;7;63
"275";23993665;2;"Нет";"Парк культуры";10;1;9;75
"276";23313593;2;"Нет";"Киевская";10;5;6;56
"277";23787199;3;"Нет";"Курская";5;5;7;63
"278";23988880;4;"Нет";"Новослободская";6;3;5;75
"279";23949790;1;"Нет";"Цветной бульвар";2;1;3;42
"280";23949789;2;"Нет";"Цветной бульвар";2;1;3;42
"281";23455180;2;"Нет";"Белорусская";10;6;16;60
"282";24042828;2;"Нет";"Парк культуры";NA;4;9;55
"283";23694242;3;"Нет";"Белорусская";20;4;6;69
"284";23806145;3;"Нет";"Таганская";5;4;6;66
"285";24047427;4;"Нет";"Белорусская";NA;1;8;71
"286";24008386;5;"Нет";"Киевская";10;8;20;150
"287";24008203;2;"Нет";"Таганская";10;7;18;79
"288";21582876;3;"Нет";"Павелецкая";5;3;5;67
"289";23126851;2;"Нет";"Кропоткинская";5;7;16;52
"290";23970073;2;"Нет";"Арбатская";10;8;16;52
"291";23126850;3;"Нет";"Кропоткинская";5;7;16;52
"292";23970041;3;"Нет";"Арбатская";10;7;16;52
"293";21774645;3;"Нет";"Новослободская";6;5;7;65
"294";24042889;2;"Нет";"Марксистская";7;3;17;64
"295";23657003;2;"Нет";"Смоленская";5;22;24;51
"296";23657014;2;"Нет";"Павелецкая";7;9;9;65
"297";23947100;2;"Нет";"Добрынинская";6;6;8;53
"298";23878267;3;"Нет";"Полянка";5;2;9;65
"299";23878288;3;"Нет";"Октябрьская";5;2;9;65
"300";20516878;1;"Нет";"Парк культуры";NA;4;6;36
"301";23712138;3;"Нет";"Чистые пруды";5;2;5;64
"302";23963896;2;"Нет";"Смоленская";5;2;5;51
"303";23723743;3;"Нет";"Проспект Мира";5;6;6;65
"304";23920946;3;"Нет";"Таганская";5;4;5;82
"305";24007204;1;"Да";"Октябрьская";10;4;14;46
"306";24007202;1;"Да";"Октябрьская";10;4;14;46
"307";24007203;1;"Да";"Октябрьская";10;4;14;46
"308";24002152;1;"Да";"Октябрьская";10;4;14;46
"309";24001700;1;"Да";"Октябрьская";10;4;13;47
"310";24001930;1;"Да";"Октябрьская";10;4;13;46
"311";23744801;2;"Нет";"Арбатская";5;4;4;50
"312";23687290;2;"Нет";"Белорусская";10;5;5;61
"313";23656940;3;"Нет";"Добрынинская";1;2;14;70
"314";23744608;1;"Нет";"Пушкинская";5;3;10;43
"315";23693213;3;"Нет";"Курская";0;8;9;71
"316";24037003;3;"Нет";"Добрынинская";3;1;7;62
"317";23977353;3;"Нет";"Киевская";7;6;12;73
"318";22150030;2;"Нет";"Пушкинская";7;1;7;52
"319";23314243;2;"Нет";"Чеховская";10;2;3;48
"320";24042415;2;"Нет";"Арбатская";7;24;24;55
"321";24043383;2;"Нет";"Проспект Мира";7;3;9;45
"322";24043278;2;"Нет";"Проспект Мира";10;8;8;75
"323";23862034;2;"Нет";"Киевская";5;5;8;52
"324";23686648;2;"Нет";"Киевская";5;3;11;54
"325";23799086;3;"Нет";"Цветной бульвар";5;5;6;80
"326";24014072;3;"Нет";"Чистые пруды";5;5;5;72
"327";24039999;3;"Нет";"Красные Ворота";5;4;8;75
"328";23871844;3;"Нет";"Комсомольская";3;7;8;70
"329";23983064;3;"Нет";"Новослободская";2;4;5;82
"330";23983051;4;"Нет";"Новослободская";2;4;5;82
"331";24043549;1;"Нет";"Чистые пруды";NA;2;5;50
"332";24042904;3;"Нет";"Красные Ворота";NA;4;7;78
"333";23119218;3;"Нет";"Таганская";10;6;18;82
"334";23988988;1;"Нет";"Кропоткинская";10;3;7;44
"335";24014004;1;"Нет";"Третьяковская";5;3;7;44
"336";24014006;1;"Нет";"Полянка";5;3;7;44
"337";23656896;2;"Нет";"Маяковская";2;2;7;53
"338";23988986;2;"Нет";"Полянка";5;3;7;44
"339";23988987;2;"Нет";"Кропоткинская";10;3;7;44
"340";23988989;2;"Нет";"Третьяковская";5;3;7;44
"341";23995267;2;"Нет";"Смоленская";10;8;24;55
"342";23995583;2;"Нет";"Арбатская";10;8;24;55
"343";24050022;2;"Нет";"Киевская";10;4;5;47
"344";22150062;3;"Нет";"Пушкинская";10;1;7;52
"345";23044935;3;"Нет";"Пушкинская";5;2;6;51
"346";23815334;3;"Нет";"Маяковская";5;5;5;73
"347";23960924;3;"Нет";"Смоленская";5;22;24;53
"348";23992545;3;"Нет";"Красные Ворота";10;2;8;85
"349";23961112;3;"Нет";"Проспект Мира";12;7;16;75
"350";23709803;3;"Нет";"Таганская";10;11;12;69
"351";23968893;3;"Нет";"Павелецкая";5;3;8;76
"352";23300451;4;"Нет";"Павелецкая";5;7;9;71
"353";23204276;3;"Нет";"Белорусская";10;2;7;80
"354";23684735;3;"Нет";"Серпуховская";NA;4;6;91
"355";24028547;1;"Нет";"Кропоткинская";7;5;10;36
"356";24043216;2;"Нет";"Смоленская";NA;1;5;70
"357";24001594;1;"Да";"Октябрьская";10;3;13;56
"358";24001880;1;"Да";"Октябрьская";10;3;14;56
"359";24002045;1;"Да";"Октябрьская";10;3;14;56
"360";24001702;1;"Да";"Октябрьская";10;6;14;56
"361";24002153;1;"Да";"Октябрьская";10;3;14;56
"362";24002046;1;"Да";"Октябрьская";10;3;14;56
"363";24043388;1;"Нет";"Маяковская";NA;2;9;59
"364";23852558;2;"Нет";"Маяковская";2;2;9;54
"365";23204363;3;"Нет";"Курская";1;4;8;83
"366";23852618;4;"Нет";"Красные Ворота";10;1;6;93
"367";23699244;4;"Нет";"Серпуховская";5;4;6;91
"368";24001596;1;"Да";"Октябрьская";10;6;13;54
"369";23427243;2;"Нет";"Цветной бульвар";5;6;7;50
"370";24042750;2;"Нет";"Маяковская";NA;5;8;52
"371";22929014;2;"Нет";"Новослободская";5;4;14;57
"372";24014050;2;"Нет";"Новослободская";2;6;7;55
"373";24043697;2;"Нет";"Парк культуры";NA;1;6;65
"374";23970063;3;"Нет";"Белорусская";5;3;10;64
"375";24043676;3;"Нет";"Парк культуры";7;2;6;62
"376";23799013;3;"Нет";"Павелецкая";10;9;9;75
"377";23571297;3;"Нет";"Таганская";10;9;9;75
"378";23686672;4;"Нет";"Белорусская";13;1;5;111
"379";23737754;3;"Нет";"Краснопресненская";3;8;9;69
"380";23983034;3;"Нет";"Таганская";10;4;9;78
"381";23961105;2;"Нет";"Арбатская";5;2;8;56
"382";23806281;3;"Нет";"Белорусская";10;2;6;80
"383";20516876;1;"Нет";"Парк культуры";NA;4;6;36
"384";23757393;1;"Нет";"Пушкинская";5;3;4;38
"385";24006690;1;"Нет";"Серпуховская";10;8;14;44
"386";24006689;1;"Нет";"Серпуховская";10;8;14;44
"387";24006683;1;"Нет";"Октябрьская";10;8;14;44
"388";24006685;1;"Нет";"Октябрьская";10;8;14;44
"389";24006684;1;"Нет";"Октябрьская";10;8;14;44
"390";24006688;1;"Нет";"Серпуховская";10;8;14;44
"391";24006687;1;"Нет";"Серпуховская";10;8;14;44
"392";24005109;1;"Да";"Октябрьская";10;8;14;44
"393";24009940;1;"Да";"Добрынинская";10;8;14;4
